Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
,3634045684.15348,7.00001668930054,4044.71826171875,,,,,,,,,,,,,,,,,,,,,,,962.738,0,2.057505,,,0.5086185,1.96611,0.0001,0,9.63352E-05,9.627309E-05,3.458676E-06,,,,,,900,-75.7448,-78.95664,407379328,0,,,,,,,,,,,,,,,,
,3634045702.35855,6.99806499481201,5056.02099609375,,,237.7654,0,2.392273,,,0.4359754,2.293708,0.0001,0,2.379701E-05,2.377627E-05,9.933087E-07,,,,,,900,-90.45966,-99.20998,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045714.00617,7.0004734992981,5056.0087890625,,,,,,,,,,,,,,,,,,,,,,,1185.833,0,2.055973,,,0.5086185,1.96611,0.0001,0,0.0001186588,0.0001185824,4.256979E-06,,,,,,900,-73.47301,-77.15339,407379328,0,,,,,,,,,,,,,,,,
,3634045731.85258,6.99822950363159,6067.37158203125,,,241.2137,0,2.378768,,,0.4359754,2.293708,0.0001,0,2.414189E-05,2.412109E-05,1.002019E-06,,,,,,900,-89.9002,-98.29111,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045742.82181,7.00064706802368,6067.359375,,,,,,,,,,,,,,,,,,,,,,,1408.295,0,2.048717,,,0.5086185,1.96611,0.0001,0,0.0001409185,0.0001408284,5.03773E-06,,,,,,900,-69.30051,-73.183,407379328,0,,,,,,,,,,,,,,,,
,3634045760.68528,6.9976487159729,7078.4697265625,,,246.6257,0,2.393038,,,0.4359754,2.293708,0.0001,0,2.468381E-05,2.466229E-05,1.030654E-06,,,,,,900,-89.95894,-98.29334,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045771.95169,7.00077199935913,7078.48193359375,,,,,,,,,,,,,,,,,,,,,,,1633.417,0,2.05378,,,0.5086185,1.96611,0.0001,0,0.0001634455,0.0001633405,5.857486E-06,,,,,,900,-67.97145,-71.58018,407379328,0,,,,,,,,,,,,,,,,
,3634045790.02174,6.99751710891724,8089.724609375,,,254.271,0,2.378407,,,0.4359754,2.293708,0.0001,0,2.544872E-05,2.54268E-05,1.056099E-06,,,,,,900,-90.44797,-95.7943,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045801.79094,7.00020599365234,8089.73681640625,,,,,,,,,,,,,,,,,,,,,,,1859.571,0,2.054489,,,0.5086185,1.96611,0.0001,0,0.0001860754,0.0001859558,6.670788E-06,,,,,,900,-66.51869,-70.25014,407379328,0,,,,,,,,,,,,,,,,
,3634045820.03082,6.99820375442505,9100.84765625,,,265.1595,0,2.386721,,,0.4359754,2.293708,0.0001,0,2.653867E-05,2.651565E-05,1.105179E-06,,,,,,900,-89.03815,-101.2497,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045830.95752,7.00058460235596,9100.87109375,,,,,,,,,,,,,,,,,,,,,,,2089.995,0,2.051346,,,0.5086185,1.96611,0.0001,0,0.000209132,0.000208998,7.4859E-06,,,,,,900,-67.90742,-71.54115,407379328,0,,,,,,,,,,,,,,,,
,3634045848.93648,6.99837160110474,10112.11328125,,,282.861,0,2.40247,,,0.4359754,2.293708,0.0001,0,2.831065E-05,2.828577E-05,1.186747E-06,,,,,,900,-88.47279,-94.44843,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045859.9621,7.00055074691772,10112.1494140625,,,,,,,,,,,,,,,,,,,,,,,2317.399,0,2.052284,,,0.5086185,1.96611,0.0001,0,0.000231887,0.0002317382,8.30421E-06,,,,,,900,-66.86709,-70.57533,407379328,0,,,,,,,,,,,,,,,,
,3634045878.16474,6.99830436706543,11123.5126953125,,,285.5775,0,2.377397,,,0.4359754,2.293708,0.0001,0,2.858202E-05,2.855742E-05,1.185625E-06,,,,,,900,-88.46169,-96.36051,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045890.10031,7.00037384033203,11123.5126953125,,,,,,,,,,,,,,,,,,,,,,,2546.359,0,2.052864,,,0.5086185,1.96611,0.0001,0,0.0002547976,0.0002546341,9.127251E-06,,,,,,900,-65.93059,-69.56621,407379328,0,,,,,,,,,,,,,,,,
,3634045908.69033,6.99876594543457,12134.6708984375,,,319.5284,0,2.388291,,,0.4359754,2.293708,0.0001,0,3.198025E-05,3.195247E-05,1.332664E-06,,,,,,900,-88.1065,-94.16885,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045919.93376,7.00058460235596,12134.658203125,,,,,,,,,,,,,,,,,,,,,,,2772.308,0,2.052412,,,0.5086185,1.96611,0.0001,0,0.0002774067,0.0002772288,9.934958E-06,,,,,,900,-65.24896,-69.0026,407379328,0,,,,,,,,,,,,,,,,
,3634045938.02298,6.99869203567505,13145.9375,,,338.6631,0,2.383632,,,0.4359754,2.293708,0.0001,0,3.389524E-05,3.386592E-05,1.409711E-06,,,,,,900,-87.09355,-89.79372,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045949.99035,7.0003809928894,13145.94921875,,,,,,,,,,,,,,,,,,,,,,,3012.992,0,2.053475,,,0.5086185,1.96611,0.0001,0,0.0003014906,0.000301297,1.080308E-05,,,,,,900,-64.32574,-67.91629,407379328,0,,,,,,,,,,,,,,,,
,3634045968.14766,6.99852180480957,14157.0478515625,,,311.8778,0,2.520183,,,0.4359754,2.293708,0.0001,0,3.121761E-05,3.118741E-05,1.372679E-06,,,,,,900,-94.42064,-88.42617,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634045979.88365,7.00026655197144,14157.0478515625,,,,,,,,,,,,,,,,,,,,,,,3227.064,0,2.052249,,,0.5086185,1.96611,0.0001,0,0.0003229112,0.000322704,1.156372E-05,,,,,,900,-63.667,-67.33292,407379328,0,,,,,,,,,,,,,,,,
,3634045998.39149,6.99822044372559,15168.2783203125,,,381.6499,0,2.384958,,,0.4359754,2.293708,0.0001,0,3.819764E-05,3.816455E-05,1.589532E-06,,,,,,900,-84.56066,-88.04176,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046009.92067,7.00028276443481,15168.302734375,,,,,,,,,,,,,,,,,,,,,,,3442.394,0,2.045918,,,0.5086185,1.96611,0.0001,0,0.0003444565,0.0003442369,1.229724E-05,,,,,,900,-60.83102,-64.43033,407379328,0,,,,,,,,,,,,,,,,
,3634046028.22416,6.99850559234619,16179.5458984375,,,461.467,0,2.388382,,,0.4359754,2.293708,0.0001,0,4.618628E-05,4.614616E-05,1.924724E-06,,,,,,900,-86.56467,-88.16939,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046039.97154,7.00015068054199,16179.4853515625,,,,,,,,,,,,,,,,,,,,,,,3699.424,0,2.047891,,,0.5086185,1.96611,0.0001,0,0.0003701761,0.0003699397,1.322818E-05,,,,,,900,-60.23183,-63.88708,407379328,0,,,,,,,,,,,,,,,,
,3634046057.9115,6.99844217300415,17190.787109375,,,456.184,0,2.380861,,,0.4359754,2.293708,0.0001,0,4.565728E-05,4.561786E-05,1.89669E-06,,,,,,900,-84.91762,-86.60895,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046069.00695,7.00025939941406,17190.798828125,,,,,,,,,,,,,,,,,,,,,,,3956.727,0,2.052233,,,0.5086185,1.96611,0.0001,0,0.0003959237,0.0003956697,1.417825E-05,,,,,,900,-61.88943,-65.32947,407379328,0,,,,,,,,,,,,,,,,
,3634046087.35102,6.99848175048828,18202.017578125,,,366.2063,0,2.384912,,,0.4359754,2.293708,0.0001,0,3.665195E-05,3.66202E-05,1.525181E-06,,,,,,900,-89.66201,-90.75912,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046098.88684,7.00045728683472,18201.958984375,,,,,,,,,,,,,,,,,,,,,,,4171.381,0,2.053639,,,0.5086185,1.96611,0.0001,0,0.0004174031,0.000417135,1.495768E-05,,,,,,900,-61.40103,-64.8112,407379328,0,,,,,,,,,,,,,,,,
,3634046117.31278,6.99904489517212,19213.248046875,,,335.927,0,2.278565,,,0.4359754,2.293708,0.0001,0,3.361889E-05,3.359231E-05,1.336619E-06,,,,,,900,-82.5846,-85.33682,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046129.08098,7.00002336502075,19213.248046875,,,,,,,,,,,,,,,,,,,,,,,4340.352,0,2.051665,,,0.5086185,1.96611,0.0001,0,0.0004343104,0.0004340319,1.554859E-05,,,,,,900,-61.02987,-64.37072,407379328,0,,,,,,,,,,,,,,,,
,3634046147.18745,6.99906206130981,20224.52734375,,,485.2295,0,2.37999,,,0.4359754,2.293708,0.0001,0,4.856428E-05,4.852239E-05,2.016715E-06,,,,,,900,-79.07475,-84.66503,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046158.94066,7.00035095214844,20224.478515625,,,,,,,,,,,,,,,,,,,,,,,4542.484,0,2.045298,,,0.5086185,1.96611,0.0001,0,0.0004545346,0.000454245,1.622216E-05,,,,,,900,-58.35958,-61.66095,407379328,0,,,,,,,,,,,,,,,,
,3634046177.01758,6.99887704849243,21235.734375,,,650.2377,0,2.38845,,,0.4359754,2.293708,0.0001,0,6.507955E-05,6.502301E-05,2.712141E-06,,,,,,900,-78.52279,-84.25086,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046188.82182,7.00028276443481,21235.72265625,,,,,,,,,,,,,,,,,,,,,,,4818.992,0,2.050109,,,0.5086185,1.96611,0.0001,0,0.0004822043,0.0004818957,1.725015E-05,,,,,,900,-60.07767,-63.66926,407379328,0,,,,,,,,,,,,,,,,
,3634046207.19701,6.99879598617554,22246.953125,,,760.228,0,2.385246,,,0.4359754,2.293708,0.0001,0,7.608784E-05,7.602191E-05,3.166652E-06,,,,,,900,-80.66986,-87.08168,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046219.05413,7.00064373016357,22246.96484375,,,,,,,,,,,,,,,,,,,,,,,5098.79,0,2.050644,,,0.5086185,1.96611,0.0001,0,0.0005102019,0.0005098752,1.825647E-05,,,,,,900,-59.46556,-63.20354,407379328,0,,,,,,,,,,,,,,,,
,3634046237.32759,6.99933958053589,23258.326171875,,,815.4482,0,2.3843,,,0.4359754,2.293708,0.0001,0,8.161453E-05,8.154388E-05,3.395318E-06,,,,,,900,-80.82716,-84.9356,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046249.09848,7.00027561187744,23258.36328125,,,,,,,,,,,,,,,,,,,,,,,5372.504,0,2.050384,,,0.5086185,1.96611,0.0001,0,0.0005375906,0.0005372464,1.923409E-05,,,,,,900,-59.0514,-62.72512,407379328,0,,,,,,,,,,,,,,,,
,3634046267.30465,6.99932909011841,24269.474609375,,,817.6707,0,2.387607,,,0.4359754,2.293708,0.0001,0,8.183716E-05,8.176611E-05,3.409298E-06,,,,,,900,-82.58407,-85.30923,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046278.72398,7.00054740905762,24269.4609375,,,,,,,,,,,,,,,,,,,,,,,5633.609,0,2.045289,,,0.5086185,1.96611,0.0001,0,0.0005637159,0.0005633568,2.011871E-05,,,,,,900,-56.36086,-59.94524,407379328,0,,,,,,,,,,,,,,,,
,3634046297.11497,6.9992504119873,25280.873046875,,,755.1403,0,2.386359,,,0.4359754,2.293708,0.0001,0,7.557869E-05,7.551315E-05,3.146929E-06,,,,,,900,-81.56768,-86.83219,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046309.01459,7.00033807754517,25280.8125,,,,,,,,,,,,,,,,,,,,,,,5900.715,0,2.050036,,,0.5086185,1.96611,0.0001,0,0.0005904451,0.0005900672,2.112154E-05,,,,,,900,-58.20843,-61.77145,407379328,0,,,,,,,,,,,,,,,,
,3634046327.33537,6.99928331375122,26291.935546875,,,607.8496,0,2.386597,,,0.4359754,2.293708,0.0001,0,6.083702E-05,6.078425E-05,2.533371E-06,,,,,,900,-76.7929,-88.331,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046339.09215,7.00051259994507,26291.958984375,,,,,,,,,,,,,,,,,,,,,,,6135.037,0,2.049908,,,0.5086185,1.96611,0.0001,0,0.000613892,0.0006134991,2.195893E-05,,,,,,900,-57.80605,-61.43526,407379328,0,,,,,,,,,,,,,,,,
,3634046357.28353,6.99932909011841,27303.333984375,,,375.2892,0,2.371998,,,0.4359754,2.293708,0.0001,0,3.756067E-05,3.752849E-05,1.554537E-06,,,,,,900,-75.04227,-88.27116,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046368.84878,7.00022029876709,27303.310546875,,,,,,,,,,,,,,,,,,,,,,,6310.843,0,2.051121,,,0.5086185,1.96611,0.0001,0,0.0006314843,0.0006310797,2.260156E-05,,,,,,900,-57.58797,-61.11071,407379328,0,,,,,,,,,,,,,,,,
,3634046387.01238,6.99884366989136,28314.4921875,,,213.7292,0,2.363935,,,0.4359754,2.293708,0.0001,0,2.139088E-05,2.137268E-05,8.823041E-07,,,,,,900,-92.65759,-96.08209,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046398.99918,7.00033473968506,28314.5390625,,,,,,,,,,,,,,,,,,,,,,,6400.869,0,2.050946,,,0.5086185,1.96611,0.0001,0,0.0006404925,0.0006400822,2.292201E-05,,,,,,900,-57.42099,-60.98441,407379328,0,,,,,,,,,,,,,,,,
,3634046417.29604,6.99952363967896,29325.7578125,,,343.8222,0,2.372883,,,0.4359754,2.293708,0.0001,0,3.441133E-05,3.438182E-05,1.424725E-06,,,,,,900,-71.1413,-90.57036,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046428.87686,7.00020599365234,29325.76953125,,,,,,,,,,,,,,,,,,,,,,,6488.711,0,2.048371,,,0.5086185,1.96611,0.0001,0,0.0006492812,0.0006488663,2.320739E-05,,,,,,900,-57.57299,-61.23368,407379328,0,,,,,,,,,,,,,,,,
,3634046447.42685,6.99937343597412,30337.072265625,,,665.5639,0,2.388854,,,0.4359754,2.293708,0.0001,0,6.66135E-05,6.655561E-05,2.776536E-06,,,,,,900,-69.22926,-86.61302,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046458.82955,7.0003080368042,30337.03515625,,,,,,,,,,,,,,,,,,,,,,,6675.004,0,2.04459,,,0.5086185,1.96611,0.0001,0,0.0006679207,0.0006674955,2.382958E-05,,,,,,900,-54.71272,-58.28118,407379328,0,,,,,,,,,,,,,,,,
,3634046477.23706,6.99925422668457,31348.111328125,,,963.4817,0,2.378899,,,0.4359754,2.293708,0.0001,0,9.643015E-05,9.634704E-05,4.002593E-06,,,,,,900,-69.77464,-83.48892,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046489.01185,7.00048971176147,31348.099609375,,,,,,,,,,,,,,,,,,,,,,,6976.374,0,2.048817,,,0.5086185,1.96611,0.0001,0,0.0006980785,0.0006976322,2.495699E-05,,,,,,900,-56.72569,-60.31818,407379328,0,,,,,,,,,,,,,,,,
,3634046507.46623,6.99897527694702,32359.341796875,,,1189.787,0,2.386246,,,0.4359754,2.293708,0.0001,0,0.0001190806,0.0001189773,4.958016E-06,,,,,,900,-70.29252,-81.20341,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046518.82355,7.00006151199341,32359.318359375,,,,,,,,,,,,,,,,,,,,,,,7281.269,0,2.045595,,,0.5086185,1.96611,0.0001,0,0.0007285859,0.0007281216,2.600671E-05,,,,,,900,-54.02029,-57.66834,407379328,0,,,,,,,,,,,,,,,,
,3634046537.07457,6.99926471710205,33370.66796875,,,1352.741,0,2.387008,,,0.4359754,2.293708,0.0001,0,0.00013539,0.0001352725,5.638871E-06,,,,,,900,-69.9309,-77.69778,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046549.07523,6.99972724914551,33370.62109375,,,,,,,,,,,,,,,,,,,,,,,7597.352,0,2.049916,,,0.5086185,1.96611,0.0001,0,0.000760216,0.0007597295,2.719304E-05,,,,,,900,-55.77486,-59.58284,407379328,0,,,,,,,,,,,,,,,,
,3634046567.35006,6.99983263015747,34381.71875,,,1469.808,0,2.387395,,,0.4359754,2.293708,0.0001,0,0.0001471068,0.0001469791,6.127858E-06,,,,,,900,-71.46394,-80.0835,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046579.07603,7.00021076202393,34381.88671875,,,,,,,,,,,,,,,,,,,,,,,7885.511,0,2.048847,,,0.5086185,1.96611,0.0001,0,0.0007890497,0.0007885452,2.820971E-05,,,,,,900,-55.52925,-59.27171,407379328,0,,,,,,,,,,,,,,,,
,3634046597.3803,6.9994740486145,35392.97265625,,,1550.852,0,2.386362,,,0.4359754,2.293708,0.0001,0,0.000155218,0.0001550834,6.462942E-06,,,,,,900,-71.82317,-78.98483,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046608.9274,7.00017356872559,35392.984375,,,,,,,,,,,,,,,,,,,,,,,8155.652,0,2.049309,,,0.5086185,1.96611,0.0001,0,0.0008160812,0.0008155592,2.918271E-05,,,,,,900,-55.22883,-59.0131,407379328,0,,,,,,,,,,,,,,,,
,3634046627.38199,6.99908638000488,36404.27734375,,,1607.135,0,2.384966,,,0.4359754,2.293708,0.0001,0,0.000160851,0.0001607117,6.693572E-06,,,,,,900,-71.94532,-79.10022,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046638.9448,7.0000524520874,36404.25390625,,,,,,,,,,,,,,,,,,,,,,,8404.431,0,2.042611,,,0.5086185,1.96611,0.0001,0,0.0008409712,0.0008404369,2.997452E-05,,,,,,900,-52.72757,-56.33422,407379328,0,,,,,,,,,,,,,,,,
,3634046657.40247,6.99925851821899,37415.49609375,,,1644.721,0,2.384793,,,0.4359754,2.293708,0.0001,0,0.0001646128,0.0001644702,6.849616E-06,,,,,,900,-72.47321,-78.42152,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046668.93223,7.0002965927124,37415.53125,,,,,,,,,,,,,,,,,,,,,,,8675.86,0,2.048557,,,0.5086185,1.96611,0.0001,0,0.0008681345,0.0008675797,3.103272E-05,,,,,,900,-54.67681,-58.38719,407379328,0,,,,,,,,,,,,,,,,
,3634046687.26998,6.99908971786499,38426.8203125,,,1660.423,0,2.385544,,,0.4359754,2.293708,0.0001,0,0.0001661844,0.0001660404,6.917189E-06,,,,,,900,-71.53932,-75.63716,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046699.03903,7.00037384033203,38426.8203125,,,,,,,,,,,,,,,,,,,,,,,8941.759,0,2.048231,,,0.5086185,1.96611,0.0001,0,0.000894741,0.0008941693,3.197873E-05,,,,,,900,-54.40279,-58.20999,407379328,0,,,,,,,,,,,,,,,,
,3634046717.44912,6.9994740486145,39437.8828125,,,1648.55,0,2.385138,,,0.4359754,2.293708,0.0001,0,0.000164996,0.0001648531,6.866556E-06,,,,,,900,-72.29083,-75.81745,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046728.90731,7.00037384033203,39438.20703125,,,,,,,,,,,,,,,,,,,,,,,9210.144,0,2.043181,,,0.5086185,1.96611,0.0001,0,0.0009215935,0.0009210075,3.285728E-05,,,,,,900,-51.99216,-55.67242,407379328,0,,,,,,,,,,,,,,,,
,3634046747.17673,6.99952030181885,40449.26953125,,,1597.642,0,2.38439,,,0.4359754,2.293708,0.0001,0,0.0001599008,0.0001597623,6.652423E-06,,,,,,900,-71.93824,-75.42188,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046758.75917,7.00026845932007,40449.296875,,,,,,,,,,,,,,,,,,,,,,,9512.224,0,2.042727,,,0.5086185,1.96611,0.0001,0,0.0009518202,0.0009512154,3.39274E-05,,,,,,900,-51.60876,-55.40254,407379328,0,,,,,,,,,,,,,,,,
,3634046777.02666,6.99956893920898,41460.5625,,,1503.237,0,2.394598,,,0.4359754,2.293708,0.0001,0,0.0001504533,0.0001503219,6.286159E-06,,,,,,900,-71.92913,-74.36356,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046788.89611,6.99999237060547,41460.5390625,,,,,,,,,,,,,,,,,,,,,,,9850.518,0,2.047103,,,0.5086185,1.96611,0.0001,0,0.0009856736,0.0009850445,3.520933E-05,,,,,,900,-53.31117,-57.29912,407379328,0,,,,,,,,,,,,,,,,
,3634046807.19101,6.9993953704834,42471.671875,,,1371.573,0,2.389082,,,0.4359754,2.293708,0.0001,0,0.0001372751,0.0001371557,5.722346E-06,,,,,,900,-74.74229,-75.13127,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
,3634046818.95568,6.99996089935303,42471.68359375,,,,,,,,,,,,,,,,,,,,,,,10195.23,0,2.048592,,,0.5086185,1.96611,0.0001,0,0.001020168,0.001019516,3.6468E-05,,,,,,900,-53.11285,-57.21092,407379328,0,,,,,,,,,,,,,,,,
,3634046837.23573,6.99925422668457,43482.9296875,,,1220.135,0,2.372439,,,0.4359754,2.293708,0.0001,0,0.0001221167,0.0001220121,5.055028E-06,,,,,,900,-75.52845,-73.04038,,,,,,,,,,,,,,,,,,,,,105388928,0,,,,,,,,,,,,,,,,
